symbol,name,suffix,market,sector
PODD,Insulet Corporation,,US,Health Care
INTC,Intel,,US,Information Technology
IBKR,Interactive Brokers,,US,Financials
ICE,Intercontinental Exchange,,US,Financials
IFF,International Flavors & Fragrances,,US,Materials
IP,International Paper,,US,Materials
INTU,Intuit,,US,Information Technology
ISRG,Intuitive Surgical,,US,Health Care
IVZ,Invesco,,US,Financials
INVH,Invitation Homes,,US,Real Estate
IQV,IQVIA,,US,Health Care
IRM,Iron Mountain,,US,Real Estate
JBHT,J.B. Hunt,,US,Industrials
JBL,Jabil,,US,Information Technology
JKHY,Jack Henry & Associates,,US,Financials
J,Jacobs Solutions,,US,Industrials
JNJ,Johnson & Johnson,,US,Health Care
JCI,Johnson Controls,,US,Industrials
JPM,JPMorgan Chase,,US,Financials
KVUE,Kenvue,,US,Consumer Staples
KDP,Keurig Dr Pepper,,US,Consumer Staples
KEY,KeyCorp,,US,Financials
KEYS,Keysight Technologies,,US,Information Technology
KMB,Kimberly-Clark,,US,Consumer Staples
KIM,Kimco Realty,,US,Real Estate
KMI,Kinder Morgan,,US,Energy
KKR,KKR & Co.,,US,Financials
KLAC,KLA Corporation,,US,Information Technology
KHC,Kraft Heinz,,US,Consumer Staples
KR,Kroger,,US,Consumer Staples
LHX,L3Harris,,US,Industrials
LH,Labcorp,,US,Health Care
LRCX,Lam Research,,US,Information Technology
LVS,Las Vegas Sands,,US,Consumer Discretionary
LDOS,Leidos,,US,Industrials
LEN,Lennar,,US,Consumer Discretionary
LII,Lennox International,,US,Industrials
LLY,Lilly (Eli),,US,Health Care
LIN,Linde plc,,US,Materials
LYV,Live Nation Entertainment,,US,Communication Services
LMT,Lockheed Martin,,US,Industrials
L,Loews Corporation,,US,Financials
LOW,Lowe's,,US,Consumer Discretionary
LULU,Lululemon Athletica,,US,Consumer Discretionary
LITE,Lumentum,,US,Information Technology
LYB,LyondellBasell,,US,Materials
MTB,M&T Bank,,US,Financials
MPC,Marathon Petroleum,,US,Energy
MAR,Marriott International,,US,Consumer Discretionary
MRSH,Marsh McLennan,,US,Financials
MLM,Martin Marietta Materials,,US,Materials
MRVL,Marvell Technology,,US,Information Technology
MAS,Masco,,US,Industrials
MA,Mastercard,,US,Financials
MKC,McCormick & Company,,US,Consumer Staples
MCD,McDonald's,,US,Consumer Discretionary
MCK,McKesson Corporation,,US,Health Care
